Title,Available Globally?,Release Date,Hours Viewed,Language Indicator,Content Type
The Walking Dead: Season 5,No,nan,"6,20,00,000",English,Show
My Dad the Bounty Hunter: Season 1,Yes,2023-02-09,"6,18,00,000",English,Show
Dog Gone,Yes,2023-01-13,"6,16,00,000",English,Movie
Maid: Limited Series,Yes,2021-10-01,"6,15,00,000",English,Movie
Pasión de Gavilanes: Season 2,No,nan,"6,15,00,000",Non-English,Show
A Man Called Otto,No,nan,"6,13,00,000",English,Movie
Peaky Blinders: Season 1,No,2014-09-30,"6,11,00,000",English,Show
Victorious: Season 1,No,nan,"6,11,00,000",English,Show
Never Have I Ever: Season 1,Yes,2020-04-27,"6,10,00,000",English,Show
THE DAYS: Limited Series,No,2023-06-01,"6,08,00,000",English,Movie
Eva Lasting: Season 1 // La primera vez: Temporada 1,Yes,2023-02-15,"6,06,00,000",English,Show
Unseen: Season 1,Yes,2023-03-29,"6,01,00,000",English,Show
Narcos: Season 1,Yes,2015-08-28,"5,99,00,000",English,Show
The Walking Dead: Season 6,No,nan,"5,98,00,000",English,Show
MADOFF: The Monster of Wall Street: Limited Series,Yes,2023-01-04,"5,96,00,000",English,Movie
The Witcher: Season 2,Yes,2021-12-17,"5,93,00,000",English,Show
Sky Rojo: Season 3,Yes,2023-01-13,"5,85,00,000",English,Show
Young Lady and Gentleman // 신사와 아가씨,No,nan,"5,85,00,000",Korean,Movie
Miraculous: Tales of Ladybug & Cat Noir: Season 1,No,nan,"5,83,00,000",English,Show
Never Have I Ever: Season 3,Yes,2022-08-12,"5,83,00,000",English,Show
The Gray Man,Yes,2022-07-22,"5,83,00,000",English,Movie
S.W.A.T. (2017): Season 2,No,nan,"5,79,00,000",English,Show
ONE PIECE: East Blue // ワンピース: イーストブルー編,No,nan,"5,78,00,000",Japanese,Movie
Brooklyn Nine-Nine: Season 1,No,nan,"5,75,00,000",English,Show
New Amsterdam (2018): Season 4,No,nan,"5,75,00,000",English,Show
Workin' Moms: Season 7,No,2023-04-26,"5,75,00,000",English,Show
Barbie Life in the Dreamhouse: Season 1,Yes,nan,"5,74,00,000",English,Show
The Walking Dead: Season 7,No,nan,"5,74,00,000",English,Show
The Blacklist: Season 8,No,nan,"5,70,00,000",English,Show
The Sandman: Season 1,Yes,2022-08-05,"5,67,00,000",English,Show
True Spirit,Yes,2023-02-03,"5,67,00,000",English,Movie
CoComelon: Season 5,No,2022-03-31,"5,66,00,000",English,Show
Gilmore Girls: Season 7,Yes,nan,"5,65,00,000",English,Show
The Strays,Yes,2023-02-22,"5,65,00,000",English,Movie
Suits (2011): Season 5,Yes,nan,"5,64,00,000",English,Show
The Croods,No,nan,"5,64,00,000",English,Movie
Grizzy and the Lemmings: Season 1,No,nan,"5,63,00,000",English,Show
The Empress: Season 1 // Die Kaiserin: Staffel 1,Yes,2022-09-29,"5,60,00,000",English,Show
Matilda (1996),No,nan,"5,57,00,000",English,Movie
Outlast: Season 1,Yes,2023-03-10,"5,55,00,000",English,Show
The Good Doctor: Season 1,No,nan,"5,55,00,000",English,Show
CoComelon: Season 7,No,2023-02-14,"5,52,00,000",English,Show
Jane The Virgin: Season 1,Yes,nan,"5,52,00,000",English,Show
The Blacklist: Season 4,No,nan,"5,52,00,000",English,Show
VINLAND SAGA: Season 2 // ヴィンランド・サガ: シーズン2,No,nan,"5,51,00,000",Japanese,Show
The Queen of Flow: Season 1 // La reina del flow: Temporada 1,No,2018-11-09,"5,50,00,000",English,Show
Brooklyn Nine-Nine: Season 2,No,nan,"5,48,00,000",English,Show
Carinha de Anjo: Season 1,No,nan,"5,44,00,000",English,Show
"Surviving Escobar - Alias JJ: Season 1 // Sobreviviendo a Escobar, Alias JJ: Temporada 1",No,2017-07-31,"5,44,00,000",English,Show
The Circle: Season 5,Yes,2022-12-28,"5,44,00,000",English,Show
The Ultimatum: Queer Love: Season 1,Yes,2023-05-24,"5,38,00,000",English,Show
Never Have I Ever: Season 2,Yes,2021-07-15,"5,37,00,000",English,Show
Brooklyn Nine-Nine: Season 3,No,nan,"5,36,00,000",English,Show
¡Que viva México!,Yes,2023-05-11,"5,35,00,000",Non-English,Movie
Emily in Paris: Season 2,Yes,2021-12-22,"5,33,00,000",English,Show
The Last Kingdom: Season 5,No,2022-03-09,"5,33,00,000",English,Show
Full Swing: Season 1,Yes,2023-02-15,"5,31,00,000",English,Show
The Walking Dead: Season 8,No,nan,"5,30,00,000",English,Show
Welcome to Eden: Season 1 // Bienvenidos a Edén: Temporada 1,Yes,2022-05-06,"5,30,00,000",Non-English,Show
We Can Be Heroes,Yes,2020-12-25,"5,28,00,000",English,Movie
